"ID","ID_litter","Size","litt_size","sex","group","IgGJ2","TPI","Died","Diarr","Age_D1","AgeD2","hospit","InfCroissPed","InfCroiss4","InfCroiss5","InfCroiss6","InfCroiss7","InfCroiss8","Min1inflcr","TRD21","TRD22","TRD23","TRD24","TRD25","TRD26","TRD27","TRD28","TRD29","TRD30","TRD31","TRD32","TRD33","TRD34","TRD35","TRD36","TRD37","TRD38","TRD39","TRD40","TRD41","TRD42","TRD43","TRD44","TRD45","TRD46","TRD47","TRD48","TRD49","TRD50","TRD51","TRD52","TRD53","TRD54","TRD55","TRD56"
"L5A","5","L","5","F","L","NA","NA","0","1","46","NA","1","0","0","0","0","0","0","0","37.6","37.3","37.1","37.9","38.1","38.2","37.8","38.1","38.1","38.3","38.0","39.1","38.5","37.8","36.1","38.1","38.0","37.9","37.9","37.8","38.2","39.2","38.7","NA","NA","NA","NA","38.0","37.8","37.4","38.3","38.0","38.0","38.2","38.4","37.9"
"L5B","5","L","5","F","L","NA","NA","0","0","NA","NA","0","0","0","0","0","0","0","0","37.7","37.4","37.2","37.8","37.8","37.8","37.8","37.9","38.2","38.0","38.1","38.3","38.6","38.1","38.3","38.7","38.6","38.4","38.1","38.3","38.3","38.5","38.2","38.5","38.2","38.3","38.3","38.3","38.1","38.2","38.3","38.3","38.0","38.1","38.7","38.2"
"L5C","5","L","5","M","C","NA","NA","0","1","45","NA","1","0","1","0","0","0","0","1","37.3","37.0","36.5","37.9","37.6","37.7","36.6","37.7","37.3","37.8","38.1","38.2","37.9","38.1","37.9","38.5","38.4","38.6","38.2","38.1","38.1","38.8","37.8","NA","NA","NA","NA","38.4","37.8","37.2","38.0","37.5","38.0","38.6","38.5","38.4"
"L5D","5","L","5","M","C","NA","NA","1","1","44","NA","1","NA","0","0","0","NA","NA","NA","37.4","37.0","37.1","37.7","37.8","37.5","37.6","37.7","38.0","37.8","38.1","38.2","38.2","38.3","38.0","38.3","38.4","38.5","37.9","38.2","37.7","39.4","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"L5E","5","L","5","M","C","NA","NA","0","0","NA","NA","0","0","0","0","0","0","0","0","37.6","37.6","36.5","38.0","37.8","37.7","37.8","37.4","37.8","37.9","38.0","38.0","38.1","37.7","38.0","38.2","38.4","38.1","38.3","38.3","38.2","38.8","38.3","38.9","38.3","39.1","37.9","38.2","38.0","38.2","38.5","38.1","38.2","38.5","38.7","38.5"
"L6A","6","S","2","F","L","NA","NA","0","0","NA","NA","0","0","0","0","0","0","0","0","37.8","NA","NA","37.7","38.0","37.5","38.7","38.0","38.2","37.9","37.5","37.7","38.0","38.2","37.7","37.7","38.2","38.1","38.1","38.0","38.1","38.2","37.9","38.1","37.6","38.3","38.4","37.9","37.1","38.2","37.3","38.2","37.5","37.7","38.3","38.3"
"L6B","6","S","2","F","C","NA","NA","0","0","NA","NA","0","0","0","0","0","0","0","0","37.9","37.4","NA","38.2","37.6","37.5","37.9","37.0","38.5","37.9","37.5","37.8","37.9","38.4","38.1","38.0","38.4","38.1","38.1","38.1","37.7","38.2","38.2","38.7","38.1","38.2","38.3","38.4","38.2","38.1","38.3","38.8","38.7","38.4","38.3","38.6"
"L7A","7","L","5","F","L","NA","NA","0","1","56","NA","0","0","0","0","0","0","1","1","37.4","37.2","37.1","37.1","37.4","37.7","37.2","38.0","38.5","38.0","37.0","37.7","37.9","38.3","38.3","38.0","38.0","38.0","38.0","37.9","38.1","38.4","38.2","38.1","38.1","38.4","38.7","37.8","38.0","38.3","38.5","38.5","38.5","38.0","37.9","38.2"
"L7B","7","L","5","M","C","NA","NA","1","1","44","NA","1","1","0","0","0","1","1","1","37.5","37.4","37.5","37.4","37.9","37.9","37.8","38.3","37.6","38.0","38.7","37.9","38.1","38.2","38.2","38.1","38.2","38.4","38.5","38.5","37.8","38.4","38.3","38.6","38.3","38.7","38.7","37.4","38.0","38.5","38.8","38.5","NA","NA","NA","NA"
"L7C","7","L","5","F","L","NA","NA","0","0","NA","NA","0","1","0","0","0","0","1","1","37.4","37.6","37.3","37.0","37.6","37.9","38.1","37.6","38.1","37.7","37.6","38.2","38.1","38.1","38.0","37.9","38.3","38.3","38.3","38.6","38.0","38.9","38.3","38.1","38.2","38.5","39.0","38.0","38.0","38.5","38.9","38.2","38.9","38.5","38.1","38.7"
