"ID","ID_litter","Size","litt_size","sex","group","IgGJ2","TPI","Died","Diarr","Age_D1","AgeD2","hospit","InfCroissPed","InfCroiss4","InfCroiss5","InfCroiss6","InfCroiss7","InfCroiss8","Min1inflcr","TRD21","TRD22","TRD23","TRD24","TRD25","TRD26","TRD27","TRD28","TRD29","TRD30","TRD31","TRD32","TRD33","TRD34","TRD35","TRD36","TRD37","TRD38","TRD39","TRD40","TRD41","TRD42","TRD43","TRD44","TRD45","TRD46","TRD47","TRD48","TRD49","TRD50","TRD51","TRD52","TRD53","TRD54","TRD55","TRD56"
"L13B","13","S","6","M","L","NA","NA","0","0","NA","NA","0","1","0","0","0","0","1","1","37.1","37.5","37.6","37.4","37.1","37.5","37.0","37.6","38.0","37.4","37.8","38.1","38.2","38.0","37.7","38.3","38.0","38.2","37.9","38.4","38.3","38.1","38.7","37.8","37.8","38.1","37.9","38.6","38.0","38.6","38.9","39.6","38.7","NA","38.4","39.6"
"L13C","13","S","6","F","C","NA","NA","0","0","NA","NA","0","0","0","0","0","0","1","1","37.3","37.7","37.4","37.6","37.3","37.4","37.6","37.2","37.9","37.7","37.8","37.4","38.0","37.9","38.0","37.8","38.2","37.5","38.0","37.9","37.8","38.4","38.4","38.0","38.0","38.1","38.3","38.7","38.0","38.1","38.7","38.2","38.4","38.3","38.2","38.6"
"L13D","13","S","6","M","L","NA","NA","0","0","NA","NA","0","0","0","0","0","0","0","0","36.4","37.5","36.9","37.1","37.6","37.4","37.6","37.7","37.7","37.8","37.6","37.5","37.9","38.1","37.9","38.0","38.1","37.9","38.1","37.9","37.7","38.5","38.2","37.4","38.1","37.7","38.0","38.7","38.4","37.9","38.6","38.9","39.0","38.6","37.6","37.8"
"L13E","13","S","6","F","C","NA","NA","0","0","NA","NA","0","1","0","0","0","0","1","1","36.8","37.3","37.0","37.3","37.1","36.9","37.7","37.3","37.6","37.6","37.8","37.3","37.7","37.6","37.8","37.3","37.7","38.1","37.9","37.8","37.9","38.2","38.3","37.1","37.3","37.7","37.9","38.4","37.6","38.7","37.3","37.9","38.3","38.3","38.4","38.5"
"L13F","13","S","6","M","L","NA","NA","0","0","NA","NA","0","0","0","0","0","0","0","0","37.3","37.4","36.9","37.0","37.6","37.3","37.6","37.5","37.7","37.7","38.0","38.0","37.8","37.8","37.6","38.2","37.8","37.9","37.9","37.9","36.1","37.8","38.5","38.2","38.1","38.1","38.0","38.3","38.1","38.4","38.5","38.2","38.3","38.3","39.6","38.7"
"L14A","14","M","5","F","C","NA","NA","0","0","NA","NA","0","NA","0","0","0","0","NA","NA","37.1","37.3","37.3","37.5","38.0","37.8","37.9","37.9","37.8","38.0","37.9","37.9","38.4","38.6","37.8","38.5","38.1","38.2","38.4","37.8","38.4","38.3","37.3","37.3","38.1","38.3","38.5","38.4","38.2","38.4","37.4","NA","NA","NA","NA","NA"
"L14B","14","M","5","M","L","NA","NA","0","0","NA","NA","0","NA","0","0","0","0","NA","NA","37.3","37.0","37.0","37.3","37.6","37.5","37.6","38.0","37.8","37.5","37.8","37.5","38.4","38.0","37.8","38.9","NA","38.0","38.0","38.3","38.2","37.2","37.7","37.2","37.7","37.6","38.7","37.9","38.3","38.4","37.2","NA","NA","NA","NA","NA"
"L14C","14","M","5","F","C","NA","NA","0","0","NA","NA","0","NA","0","0","0","1","NA","1","37.3","37.3","37.3","37.1","37.8","37.7","37.9","37.8","37.5","37.6","38.1","37.9","38.2","38.0","37.9","38.1","37.4","38.1","38.3","38.3","38.4","38.0","37.8","38.2","38.3","38.1","38.2","38.2","39.6","38.6","37.8","NA","NA","NA","NA","NA"
"L14D","14","M","5","F","L","NA","NA","0","0","NA","NA","0","NA","0","0","0","0","NA","NA","37.1","37.0","37.0","37.3","37.9","37.6","37.8","38.0","37.6","37.8","38.0","37.9","37.9","38.3","37.8","38.1","37.7","37.8","37.9","37.9","38.7","37.2","37.6","37.7","38.4","38.3","38.4","38.8","38.8","38.5","38.0","NA","NA","NA","NA","NA"
"L14E","14","M","5","F","C","NA","NA","0","0","NA","NA","0","NA","0","0","0","0","NA","NA","37.3","37.3","37.3","37.4","37.8","37.7","38.0","37.6","37.8","37.5","37.7","37.9","38.2","38.2","38.4","38.2","37.9","38.5","38.5","38.2","38.6","37.8","37.5","37.9","37.8","37.1","38.3","38.3","38.8","38.8","38.2","NA","NA","NA","NA","NA"
"L15A","15","L","8","NA","L","NA","NA","0","0","NA","NA","0","0","0","0","0","0","0","0","37.4","37.6","37.7","37.8","37.9","37.9","38.1","37.8","38.1","38.0","38.1","38.2","38.3","38.4","38.4","38.4","38.6","38.1","38.5","38.7","37.7","38.5","38.8","38.8","38.5","38.4","38.4","39.3","38.6","38.0","38.6","37.7","38.0","37.8","38.3","38.3"
"L15B","15","L","8","M","L","NA","NA","1","1","53","NA","1","NA","0","0","1","0","NA","1","36.8","37.4","37.6","37.4","37.7","37.9","38.1","37.6","37.5","38.3","38.1","38.2","38.2","38.2","38.3","37.8","38.2","37.9","38.4","38.7","37.7","38.0","NA","37.5","38.1","38.1","38.5","38.7","38.7","38.8","39.1","38.4","37.6","38.2","NA","NA"
"L15C","15","L","8","M","C","NA","NA","0","0","NA","NA","0","0","0","0","0","0","0","0","36.9","37.4","37.5","37.7","37.8","37.7","37.8","37.7","37.8","38.0","38.1","38.2","37.6","37.8","38.6","38.2","38.1","37.9","38.5","38.4","37.9","37.9","38.1","38.1","38.4","38.3","38.4","38.1","38.3","38.9","39.0","38.5","38.1","37.9","38.5","38.1"
"L15D","15","L","8","F","C","NA","NA","0","1","56","NA","0","0","1","0","0","0","0","1","37.3","37.3","37.6","37.5","37.7","37.4","37.9","37.7","37.9","38.0","38.0","38.0","37.9","38.2","38.8","38.2","38.4","38.2","38.6","38.8","37.7","38.4","38.4","38.5","38.0","38.2","38.4","38.0","37.8","38.2","38.6","38.8","38.6","38.0","38.8","38.6"
"L15E","15","L","8","F","C","NA","NA","1","1","48","NA","1","NA","0","0","1","1","NA","1","36.9","37.4","37.4","37.8","37.6","37.7","38.0","37.7","38.2","38.3","37.7","38.8","38.4","38.3","38.5","38.0","38.3","37.7","38.6","38.8","37.6","37.6","37.4","38.1","38.1","38.5","38.6","38.3","37.6","38.1","NA","NA","NA","NA","NA","NA"
"L15F","15","L","8","M","L","NA","NA","0","1","53","NA","1","1","0","0","0","0","1","1","37.0","37.7","37.2","37.4","37.8","37.7","38.0","37.8","38.0","38.1","38.1","38.1","NA","38.4","38.7","38.7","38.6","38.3","38.6","38.4","36.9","37.3","38.6","38.3","38.0","38.2","38.4","38.0","38.2","38.4","38.8","36.5","37.4","37.9","NA","37.5"
"L15H","15","L","8","M","L","NA","NA","1","1","35","50","1","NA","0","0","0","1","NA","1","36.8","37.6","37.2","37.0","37.6","37.9","37.6","37.5","38.1","38.2","38.6","38.3","38.3","38.4","39.1","38.4","38.7","38.2","38.6","38.6","37.7","38.3","37.7","38.3","38.5","38.7","NA","38.4","37.7","38.4","37.8","NA","38.1","37.7","NA","NA"
"L16A","16","S","6","M","C","NA","NA","1","1","55","NA","1","0","0","0","0","0","0","0","37.8","37.6","37.6","37.4","37.7","37.8","38.2","38.1","37.9","37.9","37.8","38.4","38.4","37.9","37.8","38.1","38.0","37.4","38.2","38.4","38.9","38.0","38.2","38.2","38.2","37.9","38.5","38.4","38.3","38.5","38.6","39.0","39.2","39.3","38.4","NA"
"L16B","16","S","6","NA","L","NA","NA","0","1","55","NA","1","0","0","0","0","0","1","1","37.1","37.5","37.2","37.2","37.8","37.7","37.9","37.2","38.0","37.9","37.6","38.0","37.9","37.7","38.1","37.6","38.1","37.6","38.1","38.1","37.9","37.8","38.0","37.8","37.8","38.3","38.3","37.7","38.2","38.1","38.1","37.9","38.5","38.1","37.7","38.6"
"L16C","16","S","6","F","L","NA","NA","0","0","NA","NA","0","0","0","0","0","0","0","0","37.4","37.5","37.5","36.9","37.9","38.0","37.5","37.8","37.9","37.7","37.2","38.1","37.7","37.7","37.9","37.7","37.9","37.9","38.0","39.0","37.8","38.8","38.7","38.1","38.4","38.7","38.7","38.4","38.6","38.3","38.4","38.6","38.2","38.2","38.3","37.9"
"L16D","16","S","6","M","C","NA","NA","0","0","NA","NA","0","0","0","0","0","0","0","0","37.1","37.6","37.4","37.5","37.9","37.8","37.7","37.9","38.3","38.0","38.1","38.4","38.1","37.9","37.9","37.7","38.2","37.8","37.2","38.8","38.0","37.9","38.4","38.0","37.8","38.2","38.3","38.3","38.5","38.1","38.4","38.7","39.2","38.5","37.8","38.1"
"L16E","16","S","6","M","L","NA","NA","0","0","NA","NA","0","0","0","0","0","0","0","0","37.4","37.3","37.4","37.4","37.7","37.8","37.7","38.0","38.0","37.9","37.9","38.0","38.1","38.1","38.9","38.3","38.1","37.6","37.9","38.3","38.3","37.9","38.7","38.5","38.4","37.7","38.4","38.3","38.6","38.2","38.4","37.9","38.0","38.0","38.4","37.7"
"L16F","16","S","6","F","C","NA","NA","0","0","NA","NA","0","0","0","0","0","0","0","0","37.3","37.3","37.3","37.5","37.8","NA","38.0","37.7","37.8","37.6","37.8","38.1","37.9","37.9","38.1","37.3","38.1","38.0","38.4","38.3","37.7","38.2","38.4","38.3","38.2","37.9","38.4","38.0","38.7","38.4","38.4","39.4","38.4","38.1","38.4","37.8"
"L17A","17","S","1","F","L","NA","NA","0","0","NA","NA","0","0","1","0","0","0","0","1","36.8","36.8","37.0","37.2","37.5","37.8","37.6","36.8","37.3","37.7","37.5","37.7","36.9","37.7","37.6","37.7","38.3","38.2","38.2","38.1","37.9","37.7","37.7","37.5","37.4","38.0","38.4","37.4","38.2","38.2","38.0","39.0","37.9","37.3","36.8","38.0"
"L18A","18","M","4","F","C","NA","NA","0","0","NA","NA","0","0","1","0","1","0","0","1","37.4","37.3","37.9","37.9","37.7","37.6","37.9","38.2","38.2","38.2","38.1","37.9","38.0","38.2","37.9","38.2","37.9","37.9","37.1","37.9","38.2","37.7","38.6","37.7","38.3","37.9","37.8","38.1","38.3","38.6","38.2","38.3","38.0","37.9","38.0","38.2"
"L18B","18","M","4","M","L","NA","NA","0","1","27","NA","0","0","1","0","1","0","0","1","37.6","37.6","37.8","37.8","37.9","38.4","38.0","38.1","38.0","37.9","38.0","37.5","37.9","38.2","37.7","38.6","36.7","37.4","38.4","37.8","38.0","38.1","37.8","38.0","37.9","37.8","38.2","37.7","38.1","38.5","38.2","38.6","38.4","38.5","37.9","39.0"
"L18C","18","M","4","M","C","NA","NA","0","0","NA","NA","0","0","1","0","1","0","0","1","37.7","37.8","38.0","38.2","37.8","37.3","38.0","38.0","38.4","38.1","38.3","37.4","38.0","37.8","38.3","38.6","37.3","37.7","37.6","38.1","37.9","37.8","38.3","38.2","38.6","37.8","38.2","37.6","38.4","38.7","37.8","38.6","38.4","37.9","NA","38.9"
"L18D","18","M","4","F","L","NA","NA","0","0","NA","NA","0","1","1","0","1","0","0","1","37.6","38.0","38.3","37.7","38.5","NA","38.1","38.1","37.8","38.2","38.5","37.4","37.6","38.1","38.0","38.4","38.0","38.2","38.6","38.2","38.4","38.2","37.9","38.0","37.7","37.3","38.4","38.4","38.1","38.6","37.7","39.6","38.2","38.5","38.5","38.6"
"L19B","19","L","8","M","C","12,21","1","0","1","52","NA","1","0","1","0","0","0","0","1","36.9","37.7","37.5","37.5","37.5","37.7","38.5","38.4","38.2","37.7","38.2","38.4","37.9","37.7","37.6","37.8","37.7","38.2","37.9","37.8","37.8","38.0","38.3","37.9","38.8","38.8","37.8","38.2","37.9","38.5","38.1","38.6","38.4","38.1","38.5","38.5"
"L19D","19","L","8","M","L","16,76","1","1","1","42","47","1","NA","0","0","0","0","NA","NA","36.9","37.0","37.5","37.5","37.7","37.8","37.4","37.4","38.2","37.9","37.4","38.2","37.9","37.9","38.1","37.8","37.6","38.2","38.8","38.1","38.1","38.1","38.4","38.1","38.3","38.5","38.1","38.6","38.3","38.9","39.1","38.3","NA","NA","NA","NA"
"L19F","19","L","8","F","C","4,43","1","0","1","46","NA","1","NA","0","0","0","0","NA","NA","37.0","37.8","37.6","37.5","37.7","37.6","37.6","37.5","37.9","38.0","38.1","38.4","38.1","38.1","37.9","38.1","37.7","38.6","38.0","38.3","38.0","38.9","38.1","38.4","38.4","38.8","37.6","38.8","37.8","37.5","39.1","39.9","37.9","38.8","NA","NA"
"L19H","19","L","8","M","L","13,74","1","0","1","48","NA","1","NA","0","0","0","0","NA","NA","37.1","37.3","37.7","37.7","37.7","37.4","37.5","37.7","38.2","37.8","37.9","38.2","38.0","37.7","NA","38.0","37.9","38.1","38.3","38.0","38.0","38.8","38.3","38.4","38.8","38.9","40.0","37.9","37.8","37.8","37.7","38.1","38.3","37.9","38.0","38.0"
"L20A","20","S","3","M","C","NA","NA","0","1","50","NA","1","0","0","0","0","1","1","1","37.5","37.3","37.7","37.7","37.8","37.8","37.9","37.7","37.8","38.2","38.0","38.2","38.0","38.2","38.4","38.2","37.7","38.2","38.4","38.4","38.4","38.3","38.5","38.5","38.4","38.8","38.4","38.5","39.4","37.8","38.0","38.0","38.2","38.8","NA","37.8"
"L20B","20","S","3","F","C","NA","NA","0","1","50","NA","1","1","0","0","1","0","1","1","37.2","37.3","37.6","37.9","37.7","37.6","37.8","37.7","37.8","37.9","37.9","38.0","37.9","38.0","37.4","38.0","37.5","38.2","38.1","38.4","38.1","38.2","38.3","38.3","38.1","38.5","38.3","38.1","38.5","39.0","38.0","38.9","38.2","38.3","NA","37.6"
"L20C","20","S","3","F","L","NA","NA","1","1","51","NA","1","NA","0","0","0","1","NA","1","37.4","37.3","37.5","37.7","37.9","37.8","37.7","37.4","37.7","38.2","37.6","37.3","38.2","38.2","38.4","37.2","37.9","38.5","38.2","38.1","38.5","37.9","38.0","38.6","38.4","38.9","38.6","38.3","38.9","38.3","40.2","NA","NA","NA","NA","NA"
"L21D","21","S","2","M","L","0,49","0","0","0","NA","NA","0","0","0","0","0","0","0","0","37.1","37.4","37.5","37.9","37.9","37.5","37.7","37.8","38.1","37.5","37.4","37.7","37.6","38.0","37.6","39.0","38.2","37.8","38.0","37.8","37.7","37.9","38.1","37.7","38.4","38.1","38.3","38.0","37.8","37.9","38.0","37.4","38.4","38.1","NA","38.2"
"L23D","23","S","3","M","L","6,95","1","0","1","27","NA","0","0","0","0","0","0","0","0","37.5","37.3","37.8","37.0","37.5","37.6","39.7","37.1","36.4","37.4","38.1","37.5","37.8","36.9","38.1","37.6","37.6","37.9","37.9","38.3","38.5","37.9","37.8","38.3","37.8","38.3","38.2","38.1","37.8","37.9","37.4","38.6","38.4","37.9","38.6","37.7"
"L24A","24","L","6","M","C","9,73","1","0","1","52","NA","1","0","1","0","0","0","0","1","37.0","37.5","36.9","37.6","37.7","38.0","37.7","37.5","37.5","37.9","38.6","36.7","37.9","38.0","37.6","37.5","37.3","38.2","38.5","38.1","37.8","38.0","37.9","37.7","38.1","38.0","38.1","38.4","38.3","38.1","38.0","38.5","37.8","37.6","38.1","38.3"
"L24F","24","L","6","M","L","6,73","1","0","0","NA","NA","0","0","0","0","0","0","0","0","37.0","37.3","37.0","37.6","38.3","37.9","37.8","38.0","38.2","38.1","38.5","37.6","38.0","38.1","37.0","38.0","38.0","38.3","38.3","38.2","38.2","37.3","38.0","37.7","38.5","38.0","38.4","39.4","38.0","38.6","38.2","37.8","38.2","38.4","38.0","38.0"
"L25B","25","M","3","F","C","10,97","1","0","0","NA","NA","0","0","0","0","0","0","0","0","37.4","37.3","37.6","37.8","37.9","38.1","38.2","37.7","38.4","38.5","36.9","37.6","38.1","38.2","38.4","38.2","38.7","38.3","38.4","38.6","38.6","38.7","38.5","38.4","38.2","38.3","38.3","38.7","38.7","38.5","38.6","38.5","38.4","38.4","38.6","39.1"
"L25E","25","M","3","F","L","5,93","1","0","0","NA","NA","0","0","0","0","0","0","0","0","37.2","37.1","37.5","38.1","37.9","37.6","37.9","37.3","38.1","38.5","37.5","38.0","37.8","38.6","38.5","38.2","38.3","38.5","38.4","38.4","38.4","37.9","38.7","38.8","38.1","38.4","38.3","38.3","37.9","38.3","38.3","38.5","38.5","38.1","38.3","38.1"
"L26D","26","S","3","M","L","NA","NA","0","0","NA","NA","0","0","0","0","0","0","0","0","37.2","37.6","37.6","37.7","37.6","37.8","37.9","37.9","37.7","38.3","37.9","38.2","38.1","38.6","37.7","38.1","38.2","38.6","38.4","38.5","38.4","37.8","38.4","38.1","38.3","37.9","38.3","38.4","38.6","38.4","38.6","39.1","38.4","38.9","38.5","38.4"
"L27A","27","S","3","M","L","6,1","1","0","0","NA","NA","0","1","0","0","1","0","0","1","37.1","37.7","37.4","37.6","38.0","37.2","38.2","37.9","37.9","37.8","37.5","38.1","37.8","37.9","37.6","38.0","37.6","38.1","38.8","37.7","38.1","38.2","37.5","38.2","37.8","37.9","37.3","38.4","37.9","37.9","37.9","38.3","39.0","NA","38.3","38.1"
"L27C","27","S","3","M","C","6,5","1","0","1","49","NA","0","0","1","0","0","0","0","1","37.1","37.5","37.6","37.3","37.9","37.6","38.1","37.8","37.8","37.5","37.1","37.8","38.0","38.1","38.0","38.1","37.9","37.8","38.3","38.1","38.1","37.1","37.9","38.2","37.6","38.5","38.0","38.5","38.8","39.0","39.0","38.8","38.6","37.3","38.8","37.8"
"L28C","28","S","5","M","C","1,31","0","0","0","NA","NA","0","0","0","0","0","1","0","1","37.7","37.8","37.6","37.8","37.7","37.6","37.8","38.0","37.7","37.9","37.8","37.9","38.1","38.1","38.1","38.0","38.5","38.1","38.4","38.2","38.3","38.2","38.2","38.4","38.4","38.1","38.8","38.4","38.8","38.0","38.7","37.9","38.2","38.1","38.2","39.0"
"L28D","28","S","5","F","L","3,67","1","0","0","NA","NA","0","0","0","0","0","0","0","0","37.3","37.5","37.1","37.2","37.7","37.8","37.8","37.6","37.9","37.8","37.8","37.9","38.1","38.1","38.3","37.7","37.9","37.9","38.3","38.5","38.1","38.4","38.1","38.1","38.4","38.4","38.3","39.6","38.6","38.5","38.4","38.0","37.1","38.4","38.3","39.1"
"L29A","29","S","2","M","C","7,98","1","0","0","NA","NA","0","0","1","0","0","1","0","1","37.3","37.5","37.5","37.6","37.7","37.8","37.9","37.8","37.9","37.4","37.7","38.1","38.0","38.4","37.9","38.0","38.4","38.4","38.3","38.9","38.3","38.1","38.6","38.4","37.2","38.0","38.2","37.9","37.8","38.7","37.7","38.6","38.2","39.1","38.6","37.8"
"L30F","30","L","3","M","L","7,2","1","1","1","56","NA","1","0","0","0","0","0","1","1","37.6","38.1","37.9","38.2","37.8","38.0","38.2","38.1","38.0","38.0","38.1","38.1","38.4","38.3","38.7","38.4","38.4","38.3","38.4","38.3","38.4","38.4","38.5","38.4","38.5","38.1","38.5","38.3","38.5","38.8","38.4","38.5","NA","39.3","39.0","39.7"
"L31A","31","L","9","M","C","3,26","1","0","0","NA","NA","0","0","0","0","0","0","0","0","37.6","37.6","37.2","38.0","37.8","37.8","38.3","38.0","37.6","37.4","37.8","37.9","38.0","38.3","38.2","38.3","38.1","38.0","37.8","38.0","38.9","38.2","36.8","38.1","38.0","38.2","38.5","38.3","37.8","38.1","37.9","37.9","38.1","38.2","38.1","38.7"
"L31C","31","L","9","M","L","6,37","1","0","1","47","NA","1","0","0","0","0","0","0","0","37.5","37.1","37.6","38.0","37.7","37.8","38.0","37.8","38.0","38.3","38.0","38.0","38.4","38.3","38.2","38.3","37.9","38.3","38.2","38.6","38.3","38.0","38.5","38.4","38.0","38.2","39.1","38.5","38.5","37.8","38.5","38.3","38.2","38.5","38.1","38.5"
"L31F","31","L","9","M","C","2,85","1","0","1","35","NA","1","0","0","1","0","0","0","1","37.0","37.6","37.4","38.1","37.9","38.0","37.9","38.0","37.6","38.2","37.9","37.4","39.0","38.8","38.2","38.2","38.2","38.6","37.9","38.7","38.3","38.3","38.3","38.2","37.9","38.2","38.5","38.3","38.5","38.4","38.3","38.7","38.3","38.7","38.3","38.8"
"L31G","31","L","9","M","L","3,16","1","0","0","NA","NA","1","0","0","0","1","0","0","1","37.3","37.7","37.8","37.9","37.6","37.5","38.0","37.8","37.7","38.2","37.8","38.4","38.4","38.0","38.2","38.6","39.0","38.1","NA","NA","NA","37.9","37.4","38.0","38.1","38.2","38.2","38.4","38.0","38.1","38.2","38.4","38.7","38.8","38.5","38.7"
"L31I","31","L","9","F","C","4,66","1","0","0","NA","NA","1","0","0","0","0","0","0","0","36.5","37.4","37.7","37.8","37.8","37.8","38.4","38.0","38.0","37.8","38.3","37.7","38.3","38.5","38.5","38.6","38.4","38.5","38.3","38.4","38.4","38.3","38.2","38.2","38.1","38.2","38.3","38.4","38.5","38.1","38.6","38.2","38.1","37.6","38.1","38.4"
"L33B","33","L","7","F","L","0,53","0","0","0","NA","NA","0","0","0","1","0","0","0","1","37.2","38.2","37.7","37.7","37.8","37.7","38.1","37.4","38.1","38.2","37.9","38.0","38.5","38.3","37.6","37.6","38.2","38.2","38.1","38.0","38.6","37.5","37.6","37.9","37.7","38.2","38.6","38.3","38.7","38.2","38.7","38.7","38.6","38.4","37.8","38.8"
"L33C","33","L","7","M","C","0,46","0","0","0","NA","NA","0","0","0","0","0","0","0","0","37.2","37.4","37.8","37.9","37.5","37.6","37.7","37.4","38.1","37.8","37.9","37.9","38.2","37.7","37.7","38.2","38.2","38.0","38.1","38.1","38.2","38.0","38.0","37.7","37.8","37.6","38.3","38.2","38.5","38.5","38.1","38.6","37.7","38.4","37.9","38.2"
"L33E","33","L","7","M","L","0,8","0","0","0","NA","NA","0","0","0","0","0","1","1","1","37.1","37.9","37.4","37.7","38.0","38.1","38.1","37.5","38.4","38.3","38.2","38.0","38.2","38.4","38.3","38.1","38.2","37.6","37.8","37.7","38.4","38.3","38.0","38.1","38.1","38.2","38.4","38.1","38.8","38.2","38.4","38.8","38.5","37.6","38.3","38.6"
"L34B","34","L","3","M","C","5,01","1","0","1","27","35","1","1","1","1","0","0","0","1","38.5","38.8","38.0","38.8","38.0","38.1","38.4","38.3","38.3","38.2","37.2","38.0","38.1","38.4","38.8","38.3","38.3","38.6","38.1","38.0","NA","38.6","38.2","38.0","38.0","38.1","38.6","NA","38.3","38.5","38.5","NA","38.9","38.1","37.6","38.5"
"L35C","35","S","3","F","L","NA","NA","0","0","NA","NA","0","0","0","0","0","0","0","0","36.3","36.8","36.9","37.4","37.7","37.4","37.7","37.1","37.3","37.4","37.9","37.7","38.1","37.9","37.5","38.0","37.8","37.6","38.1","37.4","38.2","37.3","38.3","38.0","38.0","38.3","38.3","37.9","38.1","37.7","37.9","38.0","38.4","38.3","38.1","37.9"
"L35E","35","S","3","F","C","NA","NA","0","0","NA","NA","0","0","0","1","1","0","0","1","36.7","37.3","36.9","37.6","37.4","37.4","37.8","37.7","37.5","37.5","37.8","37.8","38.0","38.7","40.4","39.7","39.9","37.0","37.1","36.5","37.9","38.0","37.6","37.6","37.9","38.4","37.8","37.6","38.2","37.9","38.1","37.3","38.3","38.2","38.0","37.9"
"L36B","36","S","6","M","L","6,96","1","0","0","NA","NA","0","0","0","0","0","0","0","0","36.7","37.5","37.9","37.5","37.8","37.8","37.4","38.2","38.5","38.3","37.8","38.1","38.4","38.1","38.3","38.2","38.4","38.3","38.1","37.7","38.7","38.1","38.4","38.6","38.4","38.6","38.2","38.5","39.1","38.0","38.4","37.9","38.4","38.8","NA","38.9"
"L36C","36","S","6","M","C","3,94","1","0","0","NA","NA","0","0","0","0","0","0","0","0","37.3","37.6","37.7","37.5","37.8","37.7","37.5","38.0","37.9","38.4","37.7","38.1","38.1","38.1","38.4","38.0","38.1","38.1","37.9","37.8","38.4","38.2","38.2","38.2","NA","38.3","38.5","38.1","38.6","38.8","38.5","38.6","38.2","38.7","NA","38.5"
"L36E","36","S","6","F","L","6,41","1","0","0","NA","NA","0","0","0","0","0","0","0","0","37.4","37.3","37.5","37.8","37.8","38.0","37.6","37.8","38.4","38.4","38.0","38.5","38.1","38.3","38.2","38.2","38.3","37.9","38.1","38.1","38.2","38.2","38.2","38.5","37.9","38.5","38.1","38.3","38.4","38.6","38.2","38.7","38.3","38.9","NA","39.4"
"L37B","37","S","4","M","L","3,77","1","0","0","NA","NA","0","0","0","0","1","0","0","1","37.4","37.3","37.3","37.4","37.5","37.6","37.8","37.4","37.8","38.2","38.2","38.1","37.7","NA","37.9","37.8","37.8","38.1","38.1","38.2","38.2","38.0","38.1","38.4","37.7","38.2","38.1","38.1","37.9","38.6","38.0","38.1","38.1","38.2","NA","38.0"
"L37D","37","S","4","M","L","2,84","1","0","0","NA","NA","0","0","0","0","0","0","0","0","37.0","36.9","36.9","37.2","36.9","NA","37.1","37.1","37.4","37.8","37.6","37.6","37.2","38.3","37.4","37.8","39.0","38.5","37.7","38.0","37.9","38.1","37.8","38.4","37.9","38.1","37.7","37.9","37.9","38.1","38.2","38.4","38.1","37.7","NA","38.5"
"L38A","38","S","3","F","L","4,38","1","0","0","NA","NA","0","1","1","1","0","0","0","1","37.1","37.7","37.5","37.2","37.0","37.5","37.8","37.6","37.8","38.0","37.7","37.8","37.6","38.1","38.0","38.0","38.1","37.6","37.8","38.4","37.7","38.6","38.3","38.4","39.3","38.1","37.7","38.5","38.1","38.5","38.6","38.5","38.2","38.4","NA","NA"
"L38B","38","S","3","M","C","3,23","1","0","0","NA","NA","0","0","0","0","0","0","0","0","37.3","37.5","37.6","37.8","37.7","37.4","37.5","36.7","37.7","38.0","37.7","37.5","37.8","37.9","38.0","38.1","38.5","38.5","37.9","38.0","37.9","38.3","38.6","38.5","39.1","38.1","37.7","38.1","38.8","38.3","38.6","38.6","39.0","38.8","NA","NA"
"L39A","39","L","7","M","C","0,73","0","0","0","NA","NA","0","0","1","0","0","0","0","1","37.4","37.6","38.5","38.1","38.0","37.7","37.9","37.3","38.2","38.2","37.8","37.9","38.3","38.0","37.8","38.3","37.6","37.6","37.5","38.0","38.3","38.1","38.1","38.8","38.3","38.4","38.0","38.0","37.5","38.3","38.5","39.2","38.4","38.4","38.9","38.4"
"L39B","39","L","7","M","L","3,65","1","0","0","NA","NA","0","0","0","0","0","0","0","0","37.1","37.1","37.7","37.8","37.8","37.3","37.6","37.2","38.0","38.0","38.8","38.2","38.0","38.0","36.8","37.8","37.6","37.3","37.5","38.2","37.4","37.9","38.1","37.9","37.9","38.3","38.6","38.2","37.8","37.9","38.9","38.5","38.2","38.1","38.6","38.5"
"L39G","39","L","7","M","L","4,57","1","0","0","NA","NA","0","0","0","0","0","0","0","0","37.0","37.0","37.1","37.6","37.6","36.7","37.9","37.3","38.5","37.3","38.0","38.1","38.2","38.4","37.6","38.5","38.0","37.9","37.9","38.6","38.1","38.3","38.4","37.5","38.3","38.0","38.2","37.6","38.2","38.1","39.4","39.2","38.7","38.5","38.6","38.6"
"L39H","39","L","7","F","C","4,99","1","0","1","52","NA","1","0","0","0","0","0","1","1","36.9","37.5","37.5","37.9","37.3","37.3","37.2","37.0","37.9","37.2","38.3","38.2","37.6","38.2","37.3","38.6","38.2","38.1","37.9","38.6","38.1","39.2","38.3","38.4","38.3","38.1","38.4","38.4","38.2","39.8","38.9","38.8","NA","NA","NA","NA"
"L40A","40","S","5","F","C","7,26","1","1","1","47","NA","1","NA","0","0","0","NA","NA","NA","37.4","37.6","37.4","37.7","37.5","37.5","37.2","37.8","37.9","37.8","37.9","38.0","37.9","37.8","37.9","38.0","37.8","38.3","38.1","38.1","38.1","38.0","38.5","38.4","39.1","38.4","37.6","NA","NA","NA","NA","NA","NA","NA","NA","NA"
